Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.604911,3.674107,3.553571,3.671875,2.476151,40952800
2000-01-03,3.745536,4.017857,3.631696,3.997768,2.69592,133949200
2000-01-04,3.866071,3.950893,3.613839,3.660714,2.468626,128094400
2000-01-05,3.705357,3.948661,3.678571,3.714286,2.504751,194580400
2000-01-06,3.790179,3.821429,3.392857,3.392857,2.287994,191993200
2000-01-07,3.446429,3.607143,3.410714,3.553571,2.396373,115183600
2000-01-10,3.642857,3.651786,3.383929,3.491071,2.354226,126266000
2000-01-11,3.426339,3.549107,3.232143,3.3125,2.233805,110387200
2000-01-12,3.392857,3.410714,3.089286,3.113839,2.099837,244017200
2000-01-13,3.374439,3.526786,3.303571,3.455357,2.330141,258171200
2000-01-14,3.571429,3.651786,3.549107,3.587054,2.418951,97594000
2000-01-18,3.607143,3.785714,3.587054,3.712054,2.503246,114794400
2000-01-19,3.772321,3.883929,3.691964,3.805804,2.566468,149410800
2000-01-20,4.125,4.339286,4.053571,4.053571,2.733551,457783200
2000-01-21,4.080357,4.080357,3.935268,3.975446,2.680867,123981200
2000-01-24,3.872768,4.026786,3.754464,3.794643,2.558941,110219200
2000-01-25,3.75,4.040179,3.65625,4.008929,2.703446,124286400
2000-01-26,3.928571,4.078125,3.919643,3.935268,2.653772,91789600
2000-01-27,3.886161,4.035714,3.821429,3.928571,2.649256,85036000
2000-01-28,3.863839,3.959821,3.59375,3.629464,2.447552,105837200
2000-01-31,3.607143,3.709821,3.375,3.705357,2.498731,175420000
2000-02-01,3.714286,3.75,3.571429,3.580357,2.414436,79508800
2000-02-02,3.598214,3.647321,3.464286,3.529018,2.379815,116048800
2000-02-03,3.582589,3.723214,3.580357,3.689732,2.488194,118798400
2000-02-04,3.712054,3.928571,3.700893,3.857143,2.601088,106330000
2000-02-07,3.857143,4.080357,3.783482,4.073661,2.747098,110266800
2000-02-08,4.071429,4.147321,3.973214,4.102679,2.766667,102160800
2000-02-09,4.075893,4.183036,4.015625,4.022321,2.712477,74841200
