Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,13.09,14.12,13,14.08,13.012504,113351000
2009-01-02,13.92,14.57,13.71,14.33,13.243549,86580700
2009-01-05,14.38,14.55,13.89,13.98,12.920083,93640500
2009-01-06,14.27,14.81,14.07,14.28,13.197339,111015400
2009-01-07,14.11,14.13,13.61,13.71,12.670556,112810000
2009-01-08,13.82,13.99,13.35,13.54,12.513443,93943500
2009-01-09,13.68,13.78,12.95,12.99,12.005142,74813700
2009-01-12,12.86,12.9,11.32,11.43,10.563418,122567000
2009-01-13,11.19,11.25,10.46,10.65,9.842552,242917900
2009-01-14,10.09,10.48,10.09,10.2,9.426673,166801200
2009-01-15,9.7,9.72,7.35,8.32,7.689207,552512600
2009-01-16,8.99,9.32,7,7.18,6.635637,494599400
2009-01-20,6.48,6.5,5.05,5.1,4.713336,413433500
2009-01-21,5.54,6.88,5.36,6.68,6.173545,438488400
2009-01-22,6.37,6.4,5.5,5.71,5.277086,362515000
2009-01-23,5.37,6.28,5.3,6.24,5.766905,301305600
2009-01-26,6.46,6.98,6,6,5.545101,267222800
2009-01-27,6.3,6.61,6.2,6.5,6.007191,190621000
2009-01-28,7.64,7.81,7.1,7.39,6.829716,357522100
2009-01-29,6.96,7.2,6.71,6.78,6.265964,175314200
2009-01-30,6.88,6.92,6.35,6.58,6.081127,220955000
2009-02-02,6.2,6.66,5.82,6,5.545101,291276500
2009-02-03,6.16,6.16,5.19,5.3,4.898174,355724700
2009-02-04,5.47,5.54,4.62,4.7,4.343661,610037800
2009-02-05,4.56,4.96,3.77,4.84,4.47305,757557100
2009-02-06,5.39,6.49,5.36,6.13,5.665244,725522500
2009-02-09,6.57,7.05,6.31,6.89,6.367623,461430100
2009-02-10,6.85,6.89,5.48,5.56,5.138461,608904400
2009-02-11,5.8,6.14,5.71,6.07,5.609794,396772000
2009-02-12,5.72,5.92,5.35,5.87,5.424955,370215500
2009-02-13,5.68,5.87,5.55,5.57,5.147702,239879500
2009-02-17,5.07,5.2,4.87,4.9,4.528499,278175000
2009-02-18,5.16,5.21,4.51,4.57,4.223518,327604800
2009-02-19,4.06,4.68,3.86,3.93,3.632041,406830800
2009-02-20,3.61,4.09,2.53,3.79,3.502655,840283700
2009-02-23,4.29,4.48,3.82,3.91,3.613558,511845600
2009-02-24,4.03,4.75,3.86,4.73,4.371387,510482600
2009-02-25,4.81,5.5,4.2,5.16,4.768786,593460500
2009-02-26,5.61,5.89,5.11,5.32,4.916656,449243000
2009-02-27,4.25,4.89,3.95,3.95,3.650525,476468300
2009-03-02,3.61,3.92,3.27,3.63,3.354786,437894200
2009-03-03,3.95,4.08,3.57,3.65,3.373269,347261200
2009-03-04,3.38,4.03,3.38,3.59,3.326933,262493200
2009-03-05,3.4,3.51,3.12,3.17,2.93771,282814100
2009-03-06,3.29,3.54,3,3.14,2.909909,281698600
2009-03-09,3.22,3.77,3.2,3.75,3.475209,298867900
2009-03-10,4.35,4.8,4.2,4.79,4.438999,419616900
2009-03-11,5.3,5.5,4.51,4.93,4.568742,451780400
2009-03-12,4.92,5.99,4.84,5.85,5.421325,544222900
2009-03-13,6.25,6.45,5.65,5.76,5.337922,568457500
2009-03-16,6.22,6.95,6.03,6.18,5.727145,537893100
2009-03-17,6.07,6.36,5.8,6.27,5.810549,429150400
2009-03-18,6.36,7.67,6.22,7.67,7.10796,664772200
2009-03-19,8.43,8.57,6.82,6.93,6.422186,622301500
2009-03-20,6.97,6.99,5.98,6.19,5.736413,572920000
2009-03-23,7.37,7.89,6.9,7.8,7.228434,569334700
2009-03-24,7.32,7.99,7.07,7.22,6.690936,524215100
2009-03-25,7.77,7.99,6.96,7.7,7.135762,620457600
2009-03-26,7.88,7.96,7.14,7.58,7.024556,479338200
2009-03-27,7.2,7.74,7.13,7.34,6.802142,383537100
2009-03-30,6.7,6.75,6.02,6.03,5.588138,486926900
2009-03-31,6.36,6.89,6.25,6.82,6.320246,422256900
2009-04-01,6.45,7.22,6.44,7.05,6.533394,421386100
2009-04-02,7.85,7.87,7.07,7.24,6.70947,512639600
2009-04-03,7.09,7.61,6.65,7.6,7.043089,348608900
2009-04-06,7.24,7.64,7.14,7.48,6.931883,290223200
2009-04-07,7.22,7.58,7.21,7.36,6.820676,264002200
2009-04-08,7.49,7.55,6.91,7.06,6.542661,309546200
2009-04-09,8.15,9.85,8,9.55,8.8502,1029694600
2009-04-13,9.4,11.12,9.16,11.02,10.212481,687385400
2009-04-14,11.18,11.58,10.06,10.09,9.35063,666610100
2009-04-15,9.68,10.52,9.27,10.44,9.67498,556590300
2009-04-16,10.89,10.9,10.26,10.34,9.582312,383207300
2009-04-17,10.68,11.23,10.3,10.6,9.823259,487364200
2009-04-20,9.75,9.89,8.02,8.02,7.432315,802467300
2009-04-21,7.21,8.93,7,8.76,8.118088,867931700
2009-04-22,8.43,9.24,8.13,8.26,7.654731,620909200
2009-04-23,8.59,8.92,8.23,8.82,8.173692,561041900
2009-04-24,9.06,9.47,8.7,9.1,8.433172,589862000
2009-04-27,8.66,9.29,8.65,8.92,8.266364,332356100
2009-04-28,8.04,8.68,8,8.15,7.552788,467568100
2009-04-29,8.47,8.84,8.36,8.68,8.04395,457954600
2009-04-30,9.12,9.26,8.8,8.93,8.275631,343739500
2009-05-01,8.79,9.02,8.55,8.7,8.062484,299754800
2009-05-04,8.89,10.45,8.82,10.38,9.619377,582512600
2009-05-05,10.27,11.12,10.1,10.84,10.04567,550673100
2009-05-06,11.93,12.85,11.51,12.69,11.760106,924590100
2009-05-07,14.75,15.07,12.78,13.51,12.520021,946806700
2009-05-08,14.23,14.62,13.55,14.17,13.131657,681310400
2009-05-11,13.6,13.95,12.94,12.94,11.991788,411170100
2009-05-12,13.23,13.28,12.12,12.26,11.361616,412128100
2009-05-13,11.93,11.95,11.01,11.01,10.203215,391486200
2009-05-14,10.82,11.57,10.61,11.31,10.481231,440641900
2009-05-15,11.34,11.63,10.58,10.67,9.888129,324124400
2009-05-18,11.55,12.1,11.52,11.73,10.870454,553623400
2009-05-19,11.95,12.24,11.25,11.25,10.425627,506343300
2009-05-20,11.88,12.24,11.21,11.49,10.648041,1197984500
2009-05-21,11.45,11.97,11.2,11.41,10.573903,587487600
2009-05-22,11.6,11.65,10.75,11.07,10.258819,502447400
2009-05-26,10.9,11.27,10.81,10.98,10.17541,495077300
2009-05-27,11.32,11.54,10.91,10.91,10.110541,539898200
2009-05-28,10.91,11.3,10.57,11.3,10.47196,464520100
2009-05-29,11.49,11.5,10.97,11.27,10.444164,370618000
2009-06-01,11.41,11.75,11.21,11.21,10.388557,350813400
2009-06-02,11.19,11.6,11.1,11.41,10.573903,311852000
2009-06-03,11.37,11.54,11.14,11.21,10.39767,236543800
2009-06-04,11.37,11.87,11.2,11.87,11.009843,316481900
2009-06-05,12.24,12.33,11.86,11.86,11.000568,369767900
2009-06-08,11.77,12.18,11.66,12.06,11.186078,246762300
